SCHOOL,DISTRICT,CODE,NAME,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SEC,THIRD,PASS,FAIL,PASS.PERCENT
4715,ACHHAM,71021,BINDHYABASINI MA VI MAJHETHANA DARNA,24,47,30,30,35,35,52,52,0,0,24,0,24,28,46
3006,GORKHA,38045,BINDRAWATI MA VI MASHEL,41,55,41,33,46,47,52,52,0,12,25,0,37,15,71
1509,NUWAKOT,25018,BINDU KESHAR MA VI TAKSAR,32,46,48,31,48,45,35,35,0,7,16,0,23,12,66
325,SANKHUWASAB,5003,BINOD MA VI MULKHARKA,21,44,30,30,4,43,25,25,0,1,8,0,9,16,36
2316,KATHMANDU,29517,BIPUL SHIKSHYA NIKETAN JORPATI,6,63,82,44,63,6,14,14,1,12,1,0,14,0,100
250,JHAPA,4097,BIR AMAR SINGH MA VI CHARPANE,2,36,20,21,4,35,65,65,0,1,12,0,13,52,20
4967,DANDELDHURA,76013,BIR BALBHADRA MA VI KOTELI,23,45,31,26,41,35,27,27,0,0,8,2,10,17,37
4191,ROLPA,55003,BIR BALBHADRA MA VI THAWANG,15,34,11,16,28,29,16,16,0,0,1,0,1,15,6
524,MORANG,9028,BIRAT AWASIYA MA VI BIRATNAGAR-13,57,55,70,47,56,49,15,15,0,15,0,0,15,0,100
2360,KATHMANDU,29566,BIRAT BOARDING SCHOOL SHANKHAMOOL,65,63,83,47,53,49,9,9,0,9,0,0,9,0,100
639,MORANG,9144,BIRAT CO-OPERATIVE ENGLISH BOARDING SCHOO,53,56,58,49,46,55,17,17,1,11,5,0,17,0,100
264,JHAPA,4111,BIRAT JYOTI ENGLISH BOARDING SECONDARY SCH,54,54,63,46,52,53,44,44,3,30,11,0,44,0,100
630,MORANG,9135,BIRAT VICTORIA MEMORIAL SCHOOL BIRATNAGAR,60,57,58,49,6,52,9,9,0,8,0,0,8,1,89
3050,LAMJUNG,40015,BIRBHAKTI MA VI TARKUGHAT,32,53,49,40,5,52,47,47,0,12,26,0,38,9,81
2693,CHITWAN,34025,BIRENDRA ADARSHA MA VI BIRENDRANAGAR,32,52,44,28,6,44,214,213,0,25,119,0,144,69,68
4425,JAJARKOT,64006,BIRENDRA AISHWARYA MA VI LIMSA,16,38,7,17,33,31,85,85,0,0,2,1,3,82,4
4426,JAJARKOT,64007,BIRENDRA HIMALAYA MA VI TALLU,20,32,1,15,4,37,50,50,0,0,1,0,1,49,2
772,SOLUKHUMBU,11004,BIRENDRA JYOTI MA VI SOTANG,17,42,26,33,43,45,39,39,0,0,5,0,5,34,13
3400,SYANGJA,43036,BIRENDRA MA VI BALAM JAIPATE,23,49,28,26,39,49,139,139,0,15,30,0,45,94,32
4159,RUKUM,54003,BIRENDRA MA VI BANPHIKOT,27,37,2,28,35,41,90,90,0,1,19,0,20,70,22
4289,DANG,58014,BIRENDRA MA VI BHYUDAHAR SUNPUR,25,42,23,21,38,4,92,91,0,2,14,6,22,69,24
165,JHAPA,4011,BIRENDRA MA VI CHANDRAGADHI,30,43,30,3,39,47,69,69,1,6,20,0,27,42,39
4760,DOTI,72027,BIRENDRA MA VI GHANGAL,17,37,9,13,28,31,11,11,0,0,0,0,0,11,000
